year_built,tax_assessment,finished_sq_ft,bathroom_count,bedroom_count,total_room_count,last_sold_price,zestimate_amount,valuation_low,valuation_high,percentile,page_view_count,image_count
80,138833.0,1572,2.0,4.0,8.0,743000,737089,692864,788685,24,1836,0
40,823000.0,2750,3.0,6.0,12.0,872000,916635,870803,962467,86,1443,0
20,326890.0,2010,4.0,4.0,7.0,860000,604995,556595,671544,60,927,1
40,47794.0,1287,2.0,3.0,6.0,1280000,1246119,1146429,1395653,47,3567,14
80,639550.0,994,2.0,2.0,4.0,882000,833503,758488,933523,10,8040,7
60,105431.0,2122,2.0,3.0,9.0,897000,905012,832611,986463,58,880,17
40,720090.0,2800,4.0,4.0,13.0,850000,934402,803586,1074562,94,2812,12
80,381597.0,1154,2.0,2.0,5.0,831000,819363,729233,860331,9,8440,27
40,77800.0,1418,1.0,3.0,7.0,1368000,810745,745885,867497,24,742,24
80,522871.0,1470,2.0,4.0,8.0,645000,698748,656823,740673,51,4222,17
40,44948.0,1500,2.0,3.0,8.0,818182,717946,660510,796920,27,2630,22
60,36971.0,1061,2.0,3.0,3.0,45000,78383,71329,87005,16,1031,2
80,247236.0,1977,2.5,4.0,8.0,1505000,1359913,1237521,1468706,56,972,25
80,299970.0,2024,2.0,3.0,7.0,2093000,2121237,1993963,2312148,80,1529,1
60,83818.0,1370,2.0,3.0,8.0,2100000,1725540,1604752,1863583,61,1135,24
60,401546.0,1064,1.0,3.0,6.0,750500,789928,726734,884719,43,579,3
40,209932.0,1488,3.0,3.0,6.0,825000,757987,689768,826206,58,3236,33
60,499000.0,1220,2.0,4.0,6.0,635000,631335,580828,681842,38,4337,18
20,1155480.0,1900,4.0,7.0,12.0,735000,1886548,1641297,2131799,66,1835,0
40,768623.0,1134,1.0,2.0,4.0,1100000,1042844,834275,1167985,29,3875,37
20,816220.0,2495,3.5,5.0,9.0,1050000,1052202,946982,1157422,96,273,1
40,1240000.0,2945,2.0,3.0,9.0,1300000,1530133,1315914,1774954,53,1912,23
60,279000.0,1400,2.0,5.0,8.0,450000,407584,374977,440191,30,1702,15
40,199057.0,1270,2.0,3.0,5.0,446000,432357,402092,458298,42,16030,52
80,340995.0,2150,3.0,3.0,7.0,912500,1093935,1017360,1192389,71,5995,45
40,37258.0,1150,1.0,2.0,5.0,1280000,1242974,1093817,1416990,69,683,0
60,632745.0,1951,2.0,3.0,8.0,1002000,985252,926137,1054220,61,1194,25
40,1216230.0,1515,2.0,2.0,5.0,1370000,1412196,1200367,1595781,28,5492,25
80,79694.0,1907,2.5,3.0,9.0,650000,694297,659582,735955,81,1810,6
100,1042180.0,2743,3.0,4.0,11.0,1400000,1360488,1238044,1469327,88,1552,23
80,634000.0,1830,2.0,4.0,5.0,900000,878206,816732,966027,46,2187,4
100,936627.0,3338,4.0,5.0,10.0,1075000,1063490,989046,1116664,85,1355,24
40,53234.0,1112,1.0,2.0,5.0,800000,813090,739912,861875,35,1987,17
60,265972.0,1048,1.0,3.0,5.0,888000,961537,884614,1057691,15,3065,8
40,81587.0,3054,2.0,4.0,13.0,725000,1111496,1000346,1244876,80,705,1
60,68439.0,1214,1.0,3.0,7.0,1320000,1154939,1027896,1293532,40,823,0
60,629845.0,1519,1.5,3.0,6.0,745000,766158,712527,804466,59,2857,0
60,337039.0,1335,1.0,3.0,7.0,816000,796000,740280,835800,65,1802,0
80,550640.0,1280,2.0,2.0,6.0,700000,661847,608899,714795,65,1380,1
80,437000.0,1470,3.0,3.0,3.0,576000,548004,504164,580884,26,1647,18
80,294270.0,2371,2.5,4.0,8.0,2359500,2302084,1956771,2532292,39,2982,14
40,36919.0,2706,3.5,4.0,8.0,2025000,1453540,1264580,1642500,78,3554,37
80,61115.0,1172,2.0,3.0,5.0,760000,834175,742416,909251,10,2392,3
80,609235.0,1830,2.0,3.0,9.0,1110000,987343,918229,1066330,24,12685,18
40,1019710.0,1400,2.0,3.0,12.0,2360000,1975324,1698779,2251869,33,619,0
60,823000.0,1234,2.0,3.0,6.0,1180000,1091906,993634,1201097,37,1281,29
100,588065.0,1671,3.0,3.0,7.0,730000,748606,703690,786036,59,2235,0
80,713794.0,2002,2.0,3.0,7.0,1175000,1047670,900996,1131484,65,4376,5
80,246185.0,1700,3.0,4.0,7.0,730000,696114,647386,765725,62,1018,1
80,128314.0,1697,2.5,3.0,6.0,159000,152652,141966,169444,28,784,17
100,688577.0,3392,3.0,4.0,4.0,1175000,1192575,977912,1347610,86,3570,1
20,547000.0,3360,3.0,7.0,17.0,630000,1051412,935757,1177581,85,1069,2
80,595680.0,1710,3.0,3.0,8.0,835000,853226,776436,921484,47,1600,9
80,773715.0,1972,2.0,4.0,8.0,1655000,1626632,1529034,1740496,87,2065,5
80,1330040.0,2170,2.0,3.0,8.0,1715000,1804727,1624254,1985200,80,3619,24
60,120619.0,1800,3.0,4.0,7.0,206000,337651,310639,357910,54,2828,19
40,511049.0,1000,1.0,1.0,5.0,866000,827377,686723,910115,33,1348,58
60,247401.0,1611,2.0,3.0,6.0,855000,848907,806462,899841,77,2505,28
80,231061.0,1200,1.0,3.0,5.0,1000500,1112526,1001273,1201528,23,2081,11
60,262076.0,1633,2.0,2.0,7.0,1760000,1532408,1333195,1762269,56,2758,24
20,3740000.0,3350,3.5,4.0,14.0,3150000,4172633,3338106,4965433,90,6789,0
100,989640.0,3100,3.0,4.0,10.0,2500000,2624233,2388052,2886656,78,3940,0
80,293909.0,2195,2.0,4.0,8.0,1510000,1359113,1182428,1576571,97,931,0
40,68622.0,1645,2.0,2.0,6.0,1020000,1016903,844029,1169438,58,8243,26
80,946990.0,2734,4.0,4.0,9.0,1920000,2162162,1967567,2335135,91,4638,36
100,590398.0,1786,3.0,4.0,8.0,1369000,1303146,1224957,1381335,48,1546,23
60,1746570.0,2519,2.5,4.0,10.0,2850000,2463335,1995301,2906735,72,1336,23
60,504558.0,1000,1.0,3.0,5.0,600000,606419,557905,648868,26,1648,1
80,347542.0,2683,2.0,3.0,6.0,500000,525431,488651,562211,87,1504,21
60,71621.0,1502,3.0,4.0,7.0,682500,679476,638707,733834,14,1920,2
80,540600.0,1796,3.0,3.0,8.0,745000,782846,743704,853302,29,9492,27
60,97058.0,2091,3.0,4.0,7.0,1600000,1524187,1387010,1661364,54,1622,12
80,1643830.0,4018,4.0,4.0,15.0,2670000,2513915,2187106,2840724,97,989,0
60,293290.0,1312,2.0,3.0,5.0,1800000,1851573,1647900,1962667,67,508,0
80,755774.0,1440,2.0,3.0,6.0,880000,897377,843534,978141,60,1963,1
80,569068.0,3072,2.5,4.0,8.0,1550000,1501772,1366613,1621914,83,1419,0
60,67693.0,1472,1.5,3.0,6.0,711000,747874,703002,785268,56,1733,1
80,448576.0,2003,2.0,4.0,9.0,900000,965517,907586,1023448,74,493,1
80,1067000.0,2863,3.5,4.0,9.0,1475000,1599224,1471286,1711170,93,1564,5
80,673200.0,1610,2.0,3.0,5.0,1073000,956891,832495,1033442,15,2729,0
40,791173.0,2287,3.0,5.0,12.0,1314500,1340738,1220072,1407775,46,3148,1
80,461000.0,1889,3.0,4.0,9.0,780000,800954,752897,849011,90,2182,27
100,969262.0,3518,3.0,4.0,11.0,1795000,1769484,1627925,1893348,96,3444,15
80,1051000.0,2360,3.0,5.0,9.0,1712000,1675798,1508218,1776346,91,9348,47
100,1130600.0,3016,3.0,5.0,10.0,1766000,1808481,1681887,1916990,85,2999,50
80,502722.0,1535,2.0,3.0,7.0,1185000,1103293,981931,1213622,29,1387,0
40,736035.0,1900,2.0,3.0,7.0,1725000,1683286,1548623,1801116,75,2702,22
60,73572.0,1120,1.0,3.0,5.0,357000,677336,623149,724750,72,2614,6
80,423613.0,1314,2.0,3.0,6.0,1075000,1177756,1083536,1295532,30,1254,46
60,58496.0,1052,1.0,3.0,5.0,1155000,1206133,1073458,1290562,33,913,13
80,904092.0,1576,3.0,4.0,7.0,1100000,997753,917933,1067596,17,1874,25
80,655605.0,2256,2.5,4.0,11.0,980000,974317,925601,1023033,60,5292,24
100,398000.0,1061,2.0,2.0,5.0,565000,563108,534953,591263,15,722,1
60,852281.0,1223,2.0,3.0,6.0,1125000,1148482,1045119,1251845,83,2018,5
60,792236.0,1952,2.5,4.0,7.0,1795000,1800867,1656798,1926928,21,946,0
60,430500.0,1170,2.0,3.0,5.0,745000,689369,627326,737625,55,2724,37
60,488580.0,1075,1.0,3.0,5.0,765000,759327,713767,797293,58,2119,23
80,190909.0,1275,2.0,3.0,8.0,548000,586085,545059,644693,14,560,5
40,372000.0,1179,2.0,3.0,7.0,333000,429489,408015,455258,28,2680,0
80,989239.0,2108,2.0,4.0,7.0,1775000,1655080,1555775,1770936,65,6643,47
60,248282.0,1060,2.0,3.0,6.0,975100,950644,865086,1017189,62,2615,0
100,1156000.0,3748,5.0,6.0,14.0,1460000,1458241,1341582,1589483,72,2765,1
80,769000.0,1966,3.0,4.0,7.0,870000,947315,881003,1013627,15,4814,41
60,1464880.0,1747,2.0,4.0,8.0,2400000,2074926,1680690,2386165,77,1831,25
60,102072.0,1310,2.5,5.0,8.0,790000,750087,675078,817595,87,2286,41
20,1601000.0,4000,5.0,5.0,14.0,2990000,2389530,2198368,2676274,85,1074,10
80,404985.0,1829,2.0,3.0,8.0,900000,880606,810158,942248,51,1812,48
20,23948.0,1600,2.0,3.0,4.0,1050000,1082117,908978,1287719,43,932,35
40,531000.0,2952,2.0,4.0,10.0,593000,630045,592242,680449,59,2715,26
40,800048.0,2978,3.5,5.0,10.0,1925000,1602588,1426303,1826950,77,2755,50
80,692702.0,1928,2.5,4.0,8.0,1015000,931182,856687,1005677,68,1976,18
80,606000.0,1526,2.0,3.0,6.0,990000,898685,808817,988553,55,2316,77
60,1103500.0,2038,3.0,3.0,8.0,1808000,1877275,1652002,2196412,44,1845,25
100,1001060.0,4515,5.5,6.0,14.0,2398000,2778997,2612257,3001317,97,3541,24
80,386193.0,1584,3.0,3.0,7.0,1010000,938222,863164,1013280,56,964,5
60,393149.0,2180,3.0,4.0,5.0,835000,901803,829659,973947,54,3557,5
40,77399.0,3472,4.0,5.0,16.0,815000,1065255,841551,1320916,98,598,0
60,731791.0,1651,3.0,3.0,5.0,2150100,1916364,1686400,2146328,70,2989,36
60,803609.0,1880,3.0,4.0,8.0,2073000,2146704,1910567,2361374,80,1941,5
80,651190.0,2297,3.0,4.0,9.0,850000,828671,778951,878391,63,1420,20
80,690000.0,1619,3.0,3.0,6.0,738000,698780,635890,782634,21,1102,10
40,727000.0,1954,2.0,4.0,11.0,610000,1153512,1049696,1257328,83,839,8
100,738988.0,2276,3.0,3.0,9.0,869000,948470,891562,1005378,92,1743,22
60,1073960.0,1519,2.0,4.0,6.0,1670000,1468607,1263002,1688898,80,1703,25
60,586831.0,2514,3.0,4.0,7.0,1720000,1648977,1451100,1830364,89,1000,0
80,88513.0,1762,2.0,3.0,7.0,1175000,1223840,1113694,1346224,36,1406,19
40,927180.0,1846,2.5,4.0,7.0,1355000,1333252,1093267,1519907,70,5406,42
60,85131.0,1404,1.5,3.0,5.0,1552000,1386340,1192252,1566564,46,2294,24
60,258860.0,1292,2.0,2.0,6.0,330000,322701,293658,358198,13,74,1
100,572863.0,3312,4.0,5.0,11.0,1410000,1492884,1358524,1567528,95,1049,26
100,534685.0,904,1.0,2.0,6.0,641000,558177,519105,602831,18,1296,0
100,654741.0,2611,3.0,5.0,10.0,1335000,1304136,1199805,1408467,83,2450,35
100,490000.0,1438,3.0,3.0,7.0,625000,665360,565556,771818,77,2756,25
40,511996.0,1050,1.0,2.0,6.0,685000,623098,585712,672946,19,963,21
80,443000.0,1606,2.0,3.0,7.0,410000,539471,512497,566445,41,656,1
60,728000.0,1346,2.0,3.0,5.0,870500,890187,827874,952500,59,2397,1
60,1565770.0,1430,2.0,3.0,4.0,1865000,1647282,1466081,1812010,30,1052,20
80,572883.0,1382,2.0,3.0,6.0,1020000,1004154,873614,1094528,27,2006,19
40,956855.0,1904,2.0,3.0,9.0,1375000,1170400,1076768,1240624,51,1176,22
80,315445.0,1938,3.0,3.0,8.0,998000,1143454,1063412,1246365,75,2657,38
60,130700.0,1701,2.0,3.0,6.0,667300,667033,627011,707055,62,2142,3
40,1701000.0,5600,2.75,4.0,4.0,1400000,2276222,1638880,2959089,94,3371,32
60,90208.0,1920,3.0,4.0,9.0,555500,602934,530582,681315,75,6803,1
60,727330.0,1200,1.5,3.0,7.0,764400,827604,769672,902088,47,847,2
60,979200.0,1354,2.0,4.0,7.0,1306500,1138179,1012979,1251997,39,4051,0
100,1603800.0,3674,3.5,5.0,11.0,2045000,2188350,2035165,2341535,98,1219,25
60,64255.0,1130,2.0,3.0,7.0,832000,790654,751121,846000,64,1620,12
40,154854.0,2266,2.0,4.0,11.0,1925000,1843230,1363990,2230308,50,427,9
80,299906.0,1378,2.0,3.0,5.0,1170000,1134354,1077636,1191072,74,2988,25
60,371933.0,1659,2.0,4.0,7.0,1900000,1800777,1638707,1980855,65,1819,0
100,1256480.0,3045,2.5,4.0,9.0,2900000,2776015,2609454,2914816,78,1366,25
100,1933000.0,6764,6.0,6.0,18.0,2150000,2883008,2681197,3228969,98,1445,0
80,488727.0,1853,3.0,4.0,7.0,656000,679507,631942,720277,46,2280,9
80,440000.0,892,1.0,3.0,6.0,475000,543153,477975,597468,8,2918,13
60,1506740.0,2066,3.0,3.0,7.0,3400100,2614098,2378829,2927790,53,1779,5
80,690000.0,2180,2.5,3.0,7.0,765000,746057,701294,790820,51,1889,24
60,69568.0,1577,2.0,3.0,6.0,885000,890876,819606,979964,49,1176,6
60,738000.0,1457,2.0,4.0,7.0,890000,926420,852306,982005,75,1769,18
40,55504.0,1322,1.0,2.0,2.0,105000,93430,82218,104642,47,2681,11
20,611494.0,1512,2.0,2.0,7.0,1335000,1359386,1223447,1468137,56,3244,15
60,109459.0,1129,1.0,2.0,5.0,553500,624310,561879,705470,28,241,1
40,970662.0,1397,2.0,2.0,6.0,1375000,1287564,1145932,1377693,51,2092,0
40,369109.0,1375,2.0,2.0,5.0,1210000,1355639,1152293,1613210,44,1391,15
40,605000.0,1342,2.0,2.0,6.0,845000,861745,784188,922067,43,2454,0
60,1006200.0,2579,3.0,4.0,11.0,1900000,1861637,1303146,2140883,93,1918,0
20,1841620.0,2492,3.0,4.0,8.0,2005000,2451669,2206502,2672319,77,2202,19
60,1200000.0,1982,3.0,4.0,5.0,2075000,2035563,1770940,2320542,42,1938,23
60,1655470.0,2660,3.0,4.0,10.0,2200000,2107967,1918250,2318764,49,1720,0
80,831933.0,2208,2.0,4.0,9.0,1600000,1871006,1721326,2058107,83,4834,29
60,464860.0,1085,2.0,3.0,5.0,750000,740620,703589,785057,54,2705,45
100,651182.0,2084,2.5,3.0,7.0,755000,853650,802431,939015,48,1761,15
60,951993.0,1272,2.0,3.0,5.0,1200000,1291070,1187784,1394356,46,3338,18
100,769124.0,2855,3.0,4.0,7.0,1465000,1348222,1213400,1442598,90,1765,29
100,239821.0,2040,2.0,3.0,9.0,605000,612220,581609,642831,59,982,0
80,216894.0,1525,2.0,3.0,6.0,1400000,1164111,1082623,1257240,29,1185,0
60,43862.0,1452,2.0,3.0,6.0,565000,623411,592240,654582,19,2061,5
60,526320.0,1340,2.0,3.0,6.0,820000,823688,782504,864872,71,1991,0
60,616000.0,1500,4.0,8.0,17.0,800000,818210,728207,875485,58,573,1
80,453000.0,1220,1.5,2.0,5.0,525000,516793,485785,542633,20,1227,13
60,245651.0,2758,3.5,5.0,8.0,1171000,1335596,1215392,1469156,94,1379,0
60,175880.0,1216,3.0,3.0,9.0,175000,250415,237894,262936,68,109,1
60,44234.0,1179,2.0,3.0,6.0,520000,507421,471902,532792,61,1200,1
80,1976870.0,3901,5.0,5.0,13.0,1925345,2074467,1804786,2281914,92,3008,2
60,753780.0,2900,5.0,5.0,8.0,945000,924643,878411,980122,93,2045,34
40,599226.0,1124,2.0,2.0,7.0,920000,1101657,936408,1255889,28,4103,5
60,879466.0,2166,2.0,3.0,9.0,985000,1106711,1029241,1195248,72,1253,0
60,238261.0,1620,2.0,0.0,8.0,900000,817715,735944,915841,70,1514,15
80,529000.0,900,1.0,2.0,4.0,630000,549899,511406,588392,2,877,0
40,596084.0,3228,3.5,4.0,13.0,2150000,2292538,1719403,2842747,89,8066,9
60,1895200.0,3400,4.0,6.0,11.0,2630000,2663021,2529870,2849432,76,3855,28
80,429019.0,2432,2.5,4.0,7.0,1200000,1342083,1261558,1422608,87,1041,14
80,407814.0,1620,2.0,3.0,6.0,1300000,1016962,915266,1149167,18,728,24
80,750000.0,2135,3.0,4.0,5.0,745000,812647,763888,885785,69,4154,2
40,208940.0,1269,1.5,3.0,6.0,589000,349623,325149,384585,32,568,1
60,119017.0,1969,3.0,3.0,10.0,759000,669283,635819,722826,62,1696,25
40,642166.0,1915,3.0,3.0,9.0,850000,860085,808480,920291,76,889,0
60,611586.0,1724,2.0,3.0,9.0,850000,883152,812500,962636,67,1077,0
60,277844.0,1246,1.5,4.0,7.0,1750000,1222409,1087944,1369098,28,1363,6
80,465775.0,2591,3.0,5.0,9.0,900000,868671,807864,938165,91,1126,0
100,287000.0,1460,4.0,3.0,3.0,340000,388715,365392,412038,65,1447,1
80,895955.0,1832,2.5,4.0,8.0,1400000,1362400,1171664,1594008,62,1294,26
80,163181.0,3145,3.0,4.0,9.0,1350000,1571011,1492460,1649562,98,1482,25
80,288001.0,1327,2.0,3.0,7.0,608000,585690,550549,620831,14,4312,10
80,702314.0,1595,3.0,3.0,6.0,930000,868692,773136,955561,50,2045,7
60,75608.0,1190,1.0,3.0,6.0,850000,784493,674664,831563,92,326,1
60,475081.0,2752,2.5,4.0,10.0,1800000,2011354,1810219,2232603,40,1808,25
60,495400.0,1181,2.0,3.0,6.0,741000,709297,659646,766041,43,2297,0
40,824387.0,1354,2.0,2.0,5.0,850000,810853,737876,908155,34,891,0
60,154525.0,2235,3.5,5.0,8.0,2138000,2269666,2020003,2473936,84,1280,0
60,532257.0,1308,2.0,3.0,5.0,785000,718405,653749,783061,19,3728,0
80,134468.0,1563,2.0,4.0,8.0,655000,621727,590641,652813,68,2040,9
60,404706.0,2005,2.0,3.0,6.0,1675000,1751896,1524150,1892048,92,3591,15
80,87574.0,1992,2.5,3.0,8.0,600000,608189,577780,650762,58,872,0
60,89259.0,1472,2.0,3.0,6.0,1515000,1310984,1166776,1428973,48,1046,16
60,96092.0,1650,2.0,4.0,7.0,681000,691083,642707,760191,60,1263,34
40,122000.0,1597,2.0,3.0,8.0,1801500,1623009,1233487,1834000,60,2762,12
40,239970.0,3480,4.0,4.0,16.0,240000,473203,397491,558380,97,396,1
80,593713.0,1254,1.5,2.0,6.0,700000,741762,704674,786268,28,1897,19
40,40834.0,834,1.0,2.0,4.0,869000,893835,777636,1018972,10,1218,0
80,391259.0,1798,2.5,3.0,8.0,780000,830706,772557,888855,72,5580,28
60,530433.0,1283,2.0,3.0,5.0,815000,833538,775190,900221,43,2055,30
100,1162750.0,4500,5.5,4.0,11.0,2130000,2129044,1980011,2235496,92,1939,25
80,543797.0,5227,3.0,3.0,7.0,1950000,2923758,2426719,3391559,80,10585,58
40,801733.0,885,1.0,2.0,5.0,734500,903185,767707,1038663,11,1074,10
100,663510.0,2134,3.5,4.0,6.0,1800000,1645678,1464653,1744419,64,3265,25
40,675000.0,3420,3.5,5.0,15.0,750000,727584,669377,800342,46,5990,0
60,360125.0,1685,3.0,4.0,8.0,910000,853043,776269,929817,51,1446,0
60,313301.0,1200,1.5,3.0,6.0,848000,687807,639661,735953,25,3109,14
60,64123.0,1305,2.0,3.0,6.0,748000,833440,775099,933453,52,1751,3
60,974855.0,1948,2.0,4.0,8.0,1350000,1305594,1201146,1410042,49,3780,9
40,260525.0,2023,2.0,3.0,3.0,475000,483418,444745,531760,72,1712,1
60,199276.0,2279,3.0,4.0,11.0,1250000,1235793,1136930,1334656,46,2472,0
60,232000.0,1140,1.0,3.0,6.0,285000,271155,252174,295559,23,1414,15
60,477688.0,2400,3.0,3.0,8.0,1250000,1283753,1193890,1399291,85,389,0
60,466358.0,2570,4.0,5.0,10.0,1680000,1697022,1561260,1815814,95,1558,0
100,130911.0,3230,3.0,4.0,10.0,945000,943170,896012,990328,89,1756,0
60,75209.0,1220,1.0,2.0,5.0,675000,655778,603316,701682,62,1776,12
80,664502.0,2250,2.0,4.0,6.0,1960100,1941345,1786037,2116066,85,2313,0
80,234399.0,2036,3.0,4.0,8.0,758000,816298,775483,865276,90,1354,21
60,121325.0,1527,2.0,3.0,4.0,1281000,1311177,1206283,1402959,50,2204,26
80,217979.0,1286,2.0,3.0,6.0,655000,610456,555515,665397,17,1448,5
80,75529.0,1700,2.0,3.0,8.0,975000,795084,747379,834838,65,2510,5
40,1175670.0,2253,2.5,3.0,9.0,1659000,1626891,1447933,1789580,71,3774,0
80,229044.0,2790,3.0,3.0,6.0,3825000,4262704,2642876,5413634,85,4082,39
60,218296.0,1296,1.0,3.0,7.0,915000,748044,710642,807888,56,825,0
60,636000.0,1340,2.0,3.0,6.0,802000,774679,712705,813413,61,1606,0
80,456595.0,2191,2.5,5.0,9.0,1251000,1231731,1170144,1293318,92,880,5
80,261383.0,2740,2.5,4.0,8.0,825000,902508,812257,1010809,90,1269,0
60,648005.0,1700,2.0,3.0,7.0,1600000,2376062,2019653,2684950,86,983,5
80,550640.0,1450,2.0,3.0,7.0,700000,682578,627972,750836,74,1314,0
